Lisa Blunt Rochester,Democratic,Delaware,1,LisaBRochester,Campaign
Matt Gaetz,Republican,Florida,1,mattgaetz,Campaign
Neal Dunn,Republican,Florida,2,DunnCampaign,Campaign
Kat Cammack,Republican,Florida,3,KatCammack,Personal
John Rutherford,Republican,Florida,4,JRutherfordFL,Campaign
Al Lawson,Democratic,Florida,5,AlLawsonJR,Campaign
Michael Waltz,Republican,Florida,6,michaelgwaltz,Campaign
Stephanie Murphy,Democratic,Florida,7,SMurphyCongress,Campaign
Bill Posey,Republican,Florida,8,PoseyCampaign,Campaign
Darren Soto,Democratic,Florida,9,DarrenSoto,Campaign
Val Demings,Democratic,Florida,10,valdemings,Campaign
Daniel Webster,Republican,Florida,11,WebsterCongress,Campaign
Gus Bilirakis,Republican,Florida,12,RepGusBilirakis,Official
Charlie Crist,Democratic,Florida,13,CharlieCrist,Campaign
Kathy Castor,Democratic,Florida,14,KathyCastorFL,Campaign
Scott Franklin,Republican,Florida,15,ScottFranklinFL,Campaign
Vern Buchanan,Republican,Florida,16,VernBuchanan,Official
Greg Steube,Republican,Florida,17,RepGregSteube,Official
Brian Mast,Republican,Florida,18,BrianMastFL,Campaign
Byron Donalds,Republican,Florida,19,ByronDonalds,Campaign
Alcee Hastings,Democratic,Florida,20,None,None
Lois Frankel,Democratic,Florida,21,LoisFrankel,Campaign
Ted Deutch,Democratic,Florida,22,TedDeutch,Campaign
Debbie Wasserman Schultz,Democratic,Florida,23,DWStweets,Campaign
Frederica Wilson,Democratic,Florida,24,FSWInTheHouse,Campaign
Mario Díaz-Balart,Republican,Florida,25,Missing,Missing
Carlos A. Giménez,Republican,Florida,26,Missing,Missing
Maria Elvira Salazar,Republican,Florida,27,MaElviraSalazar,Campaign
Buddy Carter,Republican,Georgia,1,repBuddyCarter,Official
Sanford Bishop,Democratic,Georgia,2,SanfordBishop,Official
Drew Ferguson,Republican,Georgia,3,RepDrewFerguson,Official
Hank Johnson,Democratic,Georgia,4,RepHankJohnson,Official
Nikema Williams,Democratic,Georgia,5,RepNikema,Official
Lucy McBath,Democratic,Georgia,6,lucymcbath,Campaign
Carolyn Bourdeaux,Democratic,Georgia,7,Carolyn4GA7,Campaign
Austin Scott,Republican,Georgia,8,AustinScottGA08,Official
Andrew Clyde,Republican,Georgia,9,Rep_Clyde,Official
Jody Hice,Republican,Georgia,10,JodyHice,Campaign
Barry Loudermilk,Republican,Georgia,11,reploudermilk,Official
Rick W. Allen,Republican,Georgia,12,RepRickAllen,Official
David Scott,Democratic,Georgia,13,repdavidscott,Official
Marjorie Taylor Greene,Republican,Georgia,14,RepMTG,Official
Ed Case,Democratic,Hawaii,1,EdCaseHawaii,Campaign
Kai Kahele,Democratic,Hawaii,2,kaikahele,Campaign
Russ Fulcher,Republican,Idaho,1,RepRussFulcher,Official
Mike Simpson,Republican,Idaho,2,None,None
Bobby Rush,Democratic,Illinois,1,bobbyrushfor1st,Campaign
Robin Kelly,Democratic,Illinois,2,RepRobinKelly,Official
Marie Newman,Democratic,Illinois,3,RepMarieNewman,Official
"Jesús ""Chuy"" García",Democratic,Illinois,4,Missing,Missing
Mike Quigley,Democratic,Illinois,5,RepMikeQuigley,Official
Sean Casten,Democratic,Illinois,6,SeanCasten,Personal
Danny K. Davis,Democratic,Illinois,7,RepDannyDavis,Official
Raja Krishnamoorthi,Democratic,Illinois,8,CongressmanRaja,Official
Jan Schakowsky,Democratic,Illinois,9,RepSchakowsky,Official
Brad Schneider,Democratic,Illinois,10,repschneider,Official
Bill Foster,Democratic,Illinois,11,RepBillFoster,Official
Mike Bost,Republican,Illinois,12,RepBost,Official
Rodney Davis,Republican,Illinois,13,RodneyDavis,Official
Lauren Underwood,Democratic,Illinois,14,RepUnderwood,Official
Mary Miller,Republican,Illinois,15,RepMaryMiller,Official
Adam Kinzinger,Republican,Illinois,16,repkinzinger,Official
Cheri Bustos,Democratic,Illinois,17,cheribustos,Campaign
Darin LaHood,Republican,Illinois,18,RepLaHood,Official
Frank J. Mrvan,Democratic,Indiana,1,Missing,Missing
Jackie Walorski,Republican,Indiana,2,jackiewalorski,Campaign
Jim Banks,Republican,Indiana,3,TeamJimBanks,Campaign
Jim Baird,Republican,Indiana,4,ElectJimBaird,Campaign
Victoria Spartz,Republican,Indiana,5,Victoria_Spartz,Campaign
Greg Pence,Republican,Indiana,6,GregPenceIN,Campaign
André Carson,Democratic,Indiana,7,Andre4Congress,Campaign
Larry Bucshon,Republican,Indiana,8,DrLarryBucshon,Campaign
Trey Hollingsworth,Republican,Indiana,9,VoteForTrey,Campaign
Ashley Hinson,Republican,Iowa,1,hinsonashley,Campaign
Mariannette Miller-Meeks,Republican,Iowa,2,RepMMM,Official
Cindy Axne,Democratic,Iowa,3,RepCindyAxne,Official
Randy Feenstra,Republican,Iowa,4,RepFeenstra,Official
Tracey Mann,Republican,Kansas,1,TraceyMannKS,Campaign
Jake LaTurner,Republican,Kansas,2,Missing,Missing
Sharice Davids,Democratic,Kansas,3,ShariceDavids,Campaign
Ron Estes,Republican,Kansas,4,RepRonEstes,Official
James Comer,Republican,Kentucky,1,JamesComer,Personal
Brett Guthrie,Republican,Kentucky,2,brettguthrie,Campaign
John Yarmuth,Democratic,Kentucky,3,RepJohnYarmuth,Official
Thomas Massie,Republican,Kentucky,4,MassieforKY,Campaign
Hal Rogers,Republican,Kentucky,5,HalRogersKY5,Campaign
Andy Barr,Republican,Kentucky,6,barrforcongress,Campaign
Steve Scalise,Republican,Louisiana,1,SteveScaliseGOP,Campaign
Cedric Richmond,Democratic,Louisiana,2,CedricRichmond,Campaign
Clay Higgins,Republican,Louisiana,3,CaptClayHiggins,Campaign
Mike Johnson,Republican,Louisiana,4,MikeJohnson,Campaign
Luke Letlow}}{{Efn,Republican,Louisiana,5,None,None
Garret Graves,Republican,Louisiana,6,garretgraves,Campaign
