"Joseph LeBlanc, Jr.","11/02/2020, 22:20:12","@tigwyk Our current criminal justice system often leaves those who leave the system with two choices be restricted in the choice employment, or take an easier route of returning to criminal behavior. This also applies to many low income individuals who feel their only choice is such.",https://twitter.com/PieRatKing/status/1323389472768249856
Harry Burger,"10/17/2020, 21:15:39","This is why I'm not voting for any Democrats this year.  First choice is Green, otherwise any name that's on neither the Dem or Rep line, or not voting at all.  That's how you send a message that this is not acceptable. https://t.co/xqXcRiqOkM",https://twitter.com/HarryRBurger/status/1317575022597296128
Tommy Wakely,"10/11/2020, 22:43:00","Bourgeois identity politics supported &amp; financed by liberals is the foundation upon which @texasdemocrats have built their party @ajamubaraka They take progressives &amp; black folks for granted. Don’t believe me, ask @RoyceWestTX why he isn’t supporting @mjhegar for US Senate. https://t.co/1lX0kGCxr7 https://t.co/hNd3aRQmv4",https://twitter.com/Wakely2020/status/1315422679059529733
Harry Burger,"10/25/2020, 23:00:09","@1832Rebellion I'm not quite there yet tonight, but the struggle is real. Take some time for self-care, I need to take my own advice on that TBH.
I just got a nice call from an old friend of the family who saw one of my signs, knowing that people see &amp; care makes a big difference. https://t.co/2CXd4tcQUp",https://twitter.com/HarryRBurger/status/1320500423149703175
Mark Bauer,"10/23/2020, 01:07:52",Trump already seems less unhinged than first debate. We’ll see if that changes once Biden speaks. #Debates2020,https://twitter.com/MarkBauer/status/1319445403641806848
"Joseph LeBlanc, Jr.","10/08/2020, 22:02:17",@Goosehonkings @justinamash @JeffBezos That is an interesting generalization. I would say that Libertarians consist mostly of educated middle class individuals of a race and creed that reflects the over all American pop. And growing among Latinos like myself and @Latinos4Lib and the black community like @MAJTOURE,https://twitter.com/PieRatKing/status/1314325268027375617
Harry Burger,"10/27/2020, 14:17:05","@beaukpad @PaulDeCristofo4 @joshfoxfilm @GreenPartyUS @GOP Can verify, campaigning w/o corporate 💰 is a second full-time job and more, which takes money out of your pocket instead of filling it. It's hard to find people willing to run #GreenParty for anything. Howie has done it twice for NY Governor, he knows.",https://twitter.com/HarryRBurger/status/1321093565318078465
Harry Burger,"10/17/2020, 00:10:55","Join my team this weekend to paint the town Green!
Door hanger blitz - https://t.co/TDrnGB9k7O",https://twitter.com/HarryRBurger/status/1317256744058368000
Harry Burger,"10/24/2020, 15:59:13","@Station1DC @my2meows There are not a continuum of voting choices, they force you to accept Far Right or slightly more center Right, unless you refuse to play by their rules.",https://twitter.com/HarryRBurger/status/1320032104688877571
Tommy Wakely,"10/06/2020, 12:24:49","Iron March members are overwhelmingly ex-military, racist &amp; share an apocalyptic world view that will culminate in a race war ending in the establishment of an anarcho-capitalist fascist state #TX21 &amp; that should scare the hell out of all of us. ⁦ https://t.co/UVQFR8jsHR",https://twitter.com/Wakely2020/status/1313455167380041729
Rae Hart Anderson,"10/05/2020, 17:59:21","""I AM THE RESURRECTION, and THE LIFE.  He that believes in Me will never die.""  --JESUS   

            (GOOGLE THAT VERSE, AND MORE!)",https://twitter.com/GodisHere2day4U/status/1313176968142229506
Jonia Broderick,"10/26/2020, 19:43:16",Great news and a wonderful endorsement! https://t.co/QieCqIJh8U,https://twitter.com/teamjonia2020/status/1320813266633854977
